G.SKILL DDR4 16G PC4-25600 CL16 RIPJAWS V VR (8Gx2),16,251000,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 16-16-16-36
G.SKILL DDR4 16G PC4-25600 CL14 FLARE X 블랙 DUAL (8Gx2),16,302500,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 14-14-14-3
G.SKILL DDR4 16G PC4-33000 CL19 TRIDENT Z RGB (8Gx2),16,432500,DDR4/PC용/2ea/포함/Dimm/16GB/4,133MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 19-19-19-39
G.SKILL DDR4 8G PC4-21300 CL19 AEGIS,8,73700,DDR4/PC용/1ea/포함/Dimm/8GB/2,666MHz/1.20V/메모리 타이밍 : 19-19-19-43
G.SKILL DDR4 16G PC4-28800 CL16 TRIDENT Z RGB (8Gx2),16,393200,DDR4/PC용/2ea/포함/Dimm/16GB/3,600MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 16-16-16-36
G.SKILL DDR4 16G PC4-34100 CL19 TRIDENT Z RGB (8Gx2),16,454400,DDR4/PC용/2ea/포함/Dimm/16GB/4,266MHz/1.40V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 19-19-19-39
G.SKILL DDR4 16G PC4-25600 CL14 TRIDENT Z (8Gx2),16,338500,DDR4/PC용/2ea/포함/Dimm/16GB/3,200MHz/1.35V/XMP/메모리 타이밍 : 14-14-14-34
G.SKILL DDR4 32G PC4-25600 CL14 TRIDENT Z RGB (8Gx4),32,722300,DDR4/PC용/4ea/포함/Dimm/32GB/3,200MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 14-14-14-34
G.SKILL DDR4 16G PC4-27700 CL16 TRIDENT Z RGB (8Gx2),16,354300,DDR4/PC용/2ea/포함/Dimm/16GB/3,466MHz/1.35V/XMP/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 16-18-18-38
G.SKILL DDR4 32G PC4-19200 CL15 TRIDENT Z RGB (16Gx2),32,383200,DDR4/PC용/2ea/포함/Dimm/32GB/2,400MHz/1.20V/LED 라이트/AURA SYNC/MYSTIC LIGHT/RGB FUSION/제조사 소프트웨어/메모리 타이밍 : 15-15-15-35
